temperature_0,temperature_0.33,temperature_0.66,temperature_1
Shake It Off,Shake It Off,All Too Well,Anti-Hero
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,Shake It Off,All Too Well
Shake It Off,All Too Well,Shake It Off,All Too Well
Shake It Off,Shake It Off,Shake It Off,Blank Space
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,All Too Well,Blank Space
Shake It Off,Shake It Off,Shake It Off,Cruel Summer
Shake It Off,Shake It Off,Shake It Off,Blank Space
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,All Too Well,All Too Well
Shake It Off,Shake It Off,All Too Well,Blank Space
Shake It Off,Shake It Off,Shake It Off,All Too Well
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,All Too Well,Shake It Off,Shake It Off
Shake It Off,Shake It Off,"""All Too Well""",Cruel Summer
Shake It Off,Shake It Off,"""All Too Well""",Shake It Off
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,Blank Space,All Too Well
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,All Too Well,All Too Well,Shake It Off
Shake It Off,Shake It Off,All Too Well,Shake It Off
Shake It Off,Shake It Off,Shake It Off,Blank Space
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,Shake It Off,All Too Well
Shake It Off,All Too Well,All Too Well,"""All Too Well"""
Shake It Off,Shake It Off,"""All Too Well""",Shake It Off
Shake It Off,Shake It Off,Shake It Off,All Too Well
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,All Too Well,All Too Well
Shake It Off,Shake It Off,All Too Well,"""All Too Well"""
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,Shake It Off,Blank Space
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,All Too Well,Shake It Off,All Too Well
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,All Too Well,Shake It Off
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,Shake It Off,All Too Well
Shake It Off,Shake It Off,Shake It Off,Anti-Hero
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,Shake It Off,Blank Space
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,Shake It Off,All Too Well
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,Shake It Off,All Too Well
Shake It Off,Shake It Off,All Too Well,Shake It Off
Shake It Off,Shake It Off,Cruel Summer,Shake It Off
Shake It Off,Shake It Off,All Too Well,All Too Well
Shake It Off,Shake It Off,Shake It Off,Cruel Summer
Shake It Off,All Too Well,Shake It Off,Shake It Off
Shake It Off,Shake It Off,All Too Well,Shake It Off
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,Shake It Off,All Too Well
Shake It Off,Shake It Off,Shake It Off,All Too Well
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,Shake It Off,All Too Well
Shake It Off,Shake It Off,All Too Well,Blank Space
Shake It Off,Shake It Off,Shake It Off,All Too Well
Shake It Off,Shake It Off,All Too Well,Shake It Off
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,"""All Too Well""",All Too Well
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,Shake It Off,Blank Space
Shake It Off,Shake It Off,All Too Well,Blank Space
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,All Too Well,All Too Well
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,Shake It Off,Shake It Off
Shake It Off,Shake It Off,Shake It Off,Blank Space
