temperature_0,temperature_0.66,temperature_1.23
"""All Too Well""","""All Too Well""","""All Too Well"""
All Too Well.,"""All Too Well""",Shake It Off.
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""","""All Too Well""",All Too Well.
"""All Too Well""","""All Too Well""",All Too Well.
"""All Too Well""",All Too Well.,All Too Well
"""All Too Well""","""All Too Well""","""All Too Well"""
All Too Well.,"""All Too Well.""",All Too Well
All Too Well.,"""All Too Well""","""All Too Well"""
All Too Well.,"""All Too Well""","""All Too Well."""
"""All Too Well""","""All Too Well""","""Love Story"""
All Too Well.,All Too Well.,Blank Space
"""All Too Well""",All Too Well.,All Too Well.
"""All Too Well""",All Too Well.,"""All Too Well"""
"""All Too Well""","""All Too Well""",All Too Well.
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""",All Too Well,"""All Too Well."""
All Too Well.,"""All Too Well""","""All Too Well"""
All Too Well.,"""All Too Well""",All Too Well.
"""All Too Well""","""All Too Well""",Blank Space.
"""All Too Well""","""All Too Well""","""Love Story"""
"""All Too Well""","""All Too Well""",All Too Well.
All Too Well.,"""All Too Well.""","""All Too Well"""
"""All Too Well""","""All Too Well.""","""All Too Well"""
"""All Too Well""","""All Too Well""","""All Too Well."""
"""All Too Well""","""All Too Well""","""Love Story"""
All Too Well.,All Too Well.,"""All Too Well"""
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""",All Too Well.,All Too Well
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""","""All Too Well""",All Too Well
"""All Too Well""","""All Too Well""","""All Too Well."""
"""All Too Well""",All Too Well.,"""All Too Well."""
All Too Well.,All Too Well.,"""All Too Well"""
"""All Too Well""","""All Too Well""",Lover.
"""All Too Well""",All Too Well.,All Too Well.
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""","""All Too Well""",Blank Space.
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""","""All Too Well""",All Too Well
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""","""All Too Well.""","""All Too Well"""
"""All Too Well""","""All Too Well""",All Too Well.
"""All Too Well""","""All Too Well""",All Too Well
"""All Too Well""",All Too Well,"""All Too Well"""
"""All Too Well""","""All Too Well""",All Too Well.
"""All Too Well""","""All Too Well.""","""All Too Well"""
All Too Well.,"""All Too Well""","""All Too Well"""
"""All Too Well""","""All Too Well.""",All Too Well.
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""","""All Too Well""",All Too Well
"""All Too Well""",All Too Well.,All Too Well.
"""All Too Well""","""All Too Well""",All Too Well.
"""All Too Well""","""All Too Well""",All Too Well
"""All Too Well""","""All Too Well""",All Too Well
"""All Too Well""",All Too Well.,"""All Too Well"""
"""All Too Well""","""All Too Well""","""All Too Well"""
All Too Well.,"""All Too Well""","""All Too Well"""
"""All Too Well""",All Too Well.,"""All Too Well"""
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""","""All Too Well""",All Too Well.
"""All Too Well""","""All Too Well""",All Too Well
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""","""All Too Well""",All Too Well
"""All Too Well""",All Too Well.,"""All Too Well"""
"""All Too Well""",Blank Space,"""Blank Space."""
"""All Too Well""",All Too Well,Blank Space
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""","""All Too Well.""",Blank Space.
All Too Well.,All Too Well,"""All Too Well"""
"""All Too Well""","""All Too Well""","""All Too Well""
"
"""All Too Well""",All Too Well,"""All Too Well."""
All Too Well.,"""All Too Well""",All Too Well.
"""All Too Well""",All Too Well.,"""All Too Well."""
"""All Too Well""","""All Too Well""",All Too Well.
"""All Too Well""","""All Too Well""",All Too Well
"""All Too Well""","""All Too Well""","""All Too Well"""
All Too Well.,"""All Too Well""",“All Too Well”
"""All Too Well""","""All Too Well""","""All Too Well."""
All Too Well.,All Too Well.,"""All Too Well"""
"""All Too Well""","""All Too Well""",Blank Space.
All Too Well.,All Too Well.,All Too Well.
"""All Too Well""",All Too Well,"""All Too Well"""
All Too Well.,"""All Too Well""","""All Too Well""."
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""",All Too Well.,"""All Too Well"""
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""","""All Too Well""","""All Too Well."""
"""All Too Well""","""All Too Well""",Love Story
"""All Too Well""","""All Too Well""",All Too Well
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""",All Too Well.,All Too Well.
"""All Too Well""","""All Too Well""","""All Too Well."""
"""All Too Well""","""All Too Well""","""All Too Well"""
All Too Well.,"""All Too Well""","""All Too Well."""
All Too Well.,"""All Too Well""","""All Too Well"""
All Too Well.,"""All Too Well""","""Blank Space."""
"""All Too Well""","""All Too Well""",Blank Space.
"""All Too Well""",All Too Well,"""All Too Well"""
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""","""All Too Well""",All Too Well
"""All Too Well""","""All Too Well""",All Too Well.
"""All Too Well""","""All Too Well""",Love Story
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""","""All Too Well""",All Too Well.
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""",All Too Well,"""All Too Well"""
"""All Too Well""","""All Too Well""",“All Too Well”
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""","""All Too Well""",All Too Well
"""All Too Well""",All Too Well.,"""All Too Well"""
"""All Too Well""",All Too Well,Blank Space
All Too Well.,"""All Too Well""","""All Too Well"""
All Too Well.,"""All Too Well.""","""All Too Well"""
"""All Too Well""","""All Too Well""",All Too Well
"""All Too Well""",All Too Well.,"""All Too Well"""
"""All Too Well""","""All Too Well""","""All Too Well"""
All Too Well.,"""All Too Well""",Shake It Off.
"""All Too Well""","""All Too Well.""","""All Too Well"""
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""",All Too Well.,All Too Well
"""All Too Well""","""All Too Well""",All Too Well
"""All Too Well""","""All Too Well""",All Too Well.
"""All Too Well""","""All Too Well""",All Too Well.
"""All Too Well""","""All Too Well.""","""All Too Well"""
"""All Too Well""",All Too Well.,"""All Too Well"""
"""All Too Well""","""All Too Well""",All Too Well.
"""All Too Well""","""All Too Well""",All Too Well.
"""All Too Well""","""All Too Well""","""All Too Well"""
"""All Too Well""",All Too Well.,"""All Too Well"""
"""All Too Well""",All Too Well,"""All Too Well"""
"""All Too Well""","""All Too Well""","""All Too Well"""
